MUNICIPALITY,FARM TYPE,YEAR,MONTH,CROP,Area planted(ha),Area harvested(ha),Production(mt),Productivity(mt/ha)
ATOK,RAINFED,2015,MAY,CABBAGE,155.25,5,55,11
ATOK,RAINFED,2015,JUN,CABBAGE,148.78,165.5,3641,22
ATOK,RAINFED,2015,JUL,CABBAGE,5,185.25,3334,18
ATOK,RAINFED,2015,AUG,CABBAGE,22,155,1085,7
ATOK,RAINFED,2015,SEP,CABBAGE,80,85,850,10
ATOK,RAINFED,2015,OCT,CABBAGE,138,5,55,11
ATOK,RAINFED,2015,NOV,CABBAGE,37,50,500,10
ATOK,RAINFED,2015,DEC,CABBAGE,5,25,250,10
ATOK,RAINFED,2015,JAN,CHINESE CABBAGE,5,5,55,11
ATOK,RAINFED,2015,FEB,CHINESE CABBAGE,5,5,55,11
ATOK,RAINFED,2015,MAR,CHINESE CABBAGE,17.3,5,55,11
ATOK,RAINFED,2015,APR,CHINESE CABBAGE,19.5,5,55,11
ATOK,RAINFED,2015,MAY,CHINESE CABBAGE,23,5,55,11
ATOK,RAINFED,2015,JUN,CHINESE CABBAGE,21.1,17.3,397,22.95
ATOK,RAINFED,2015,JUL,CHINESE CABBAGE,11.1,19.5,323,16.56
ATOK,RAINFED,2015,AUG,CHINESE CABBAGE,7.5,23,230,10
ATOK,RAINFED,2015,SEP,CHINESE CABBAGE,2.5,15,150,10
ATOK,RAINFED,2015,OCT,CHINESE CABBAGE,7.8,5,55,11
ATOK,RAINFED,2015,NOV,CHINESE CABBAGE,5,5,55,11
ATOK,RAINFED,2015,DEC,CHINESE CABBAGE,5,1,5,5
ATOK,RAINFED,2015,JAN,LETTUCE,5,5,55,11
ATOK,RAINFED,2015,FEB,LETTUCE,5,5,55,11
ATOK,RAINFED,2015,MAR,LETTUCE,5,5,55,11
ATOK,RAINFED,2015,APR,LETTUCE,0.9,5,55,11
ATOK,RAINFED,2015,MAY,LETTUCE,1.71,0.9,9,10
ATOK,RAINFED,2015,JUN,LETTUCE,0.9,1.71,17.1,10
ATOK,RAINFED,2015,JUL,LETTUCE,0.54,0.9,10.8,12
ATOK,RAINFED,2015,AUG,LETTUCE,5,0.54,5,9.26
ATOK,RAINFED,2015,SEP,LETTUCE,3,5,55,11
ATOK,RAINFED,2015,OCT,LETTUCE,0.5,5,55,11
ATOK,RAINFED,2015,NOV,LETTUCE,5,5,55,11
ATOK,RAINFED,2015,DEC,LETTUCE,5,5,55,11
ATOK,RAINFED,2015,JAN,CAULIFLOWER,5,5,55,11
ATOK,RAINFED,2015,FEB,CAULIFLOWER,5,5,55,11
ATOK,RAINFED,2015,MAR,CAULIFLOWER,5,5,55,11
ATOK,RAINFED,2015,APR,CAULIFLOWER,5,5,55,11
ATOK,RAINFED,2015,MAY,CAULIFLOWER,5,5,55,11
ATOK,RAINFED,2015,JUN,CAULIFLOWER,5,5,55,11
ATOK,RAINFED,2015,JUL,CAULIFLOWER,5,5,55,11
ATOK,RAINFED,2015,AUG,CAULIFLOWER,5,5,55,11
ATOK,RAINFED,2015,SEP,CAULIFLOWER,5,5,55,11
ATOK,RAINFED,2015,OCT,CAULIFLOWER,1.2,5,55,11
ATOK,RAINFED,2015,NOV,CAULIFLOWER,5,5,55,11
ATOK,RAINFED,2015,DEC,CAULIFLOWER,5,5,55,11
ATOK,RAINFED,2015,JAN,BROCCOLI,5,5,55,11
ATOK,RAINFED,2015,FEB,BROCCOLI,5,5,55,11
ATOK,RAINFED,2015,MAR,BROCCOLI,5,5,55,11
ATOK,RAINFED,2015,APR,BROCCOLI,5,5,55,11
ATOK,RAINFED,2015,MAY,BROCCOLI,5,5,55,11
ATOK,RAINFED,2015,JUN,BROCCOLI,5,5,55,11
ATOK,RAINFED,2015,JUL,BROCCOLI,5,5,55,11
ATOK,RAINFED,2015,AUG,BROCCOLI,5,5,55,11
ATOK,RAINFED,2015,SEP,BROCCOLI,5,5,55,11
ATOK,RAINFED,2015,OCT,BROCCOLI,1.25,5,55,11
ATOK,RAINFED,2015,NOV,BROCCOLI,5,5,55,11
ATOK,RAINFED,2015,DEC,BROCCOLI,5,5,55,11
ATOK,RAINFED,2015,JAN,SNAP BEANS,5,5,55,11
ATOK,RAINFED,2015,FEB,SNAP BEANS,5,5,55,11
ATOK,RAINFED,2015,MAR,SNAP BEANS,3.3,5,55,11
ATOK,RAINFED,2015,APR,SNAP BEANS,3.9,5,55,11
ATOK,RAINFED,2015,MAY,SNAP BEANS,4.2,5,55,11
ATOK,RAINFED,2015,JUN,SNAP BEANS,0.8,3.3,26.4,8
ATOK,RAINFED,2015,JUL,SNAP BEANS,5,5,55,11
ATOK,RAINFED,2015,AUG,SNAP BEANS,5,4.2,32,7.62
ATOK,RAINFED,2015,SEP,SNAP BEANS,5,5,55,11
ATOK,RAINFED,2015,OCT,SNAP BEANS,3.5,5,55,11
ATOK,RAINFED,2015,NOV,SNAP BEANS,5,5,55,11
ATOK,RAINFED,2015,DEC,SNAP BEANS,5,5,55,11
ATOK,RAINFED,2015,JAN,GARDEN PEAS,5,5,55,11
ATOK,RAINFED,2015,FEB,GARDEN PEAS,5,5,55,11
ATOK,RAINFED,2015,MAR,GARDEN PEAS,5.2,5,55,11
ATOK,RAINFED,2015,APR,GARDEN PEAS,7.3,5,55,11
ATOK,RAINFED,2015,MAY,GARDEN PEAS,5,5,55,11
ATOK,RAINFED,2015,JUN,GARDEN PEAS,5,5.2,26,5
ATOK,RAINFED,2015,JUL,GARDEN PEAS,5,5,55,11
ATOK,RAINFED,2015,AUG,GARDEN PEAS,5,5,55,11
ATOK,RAINFED,2015,SEP,GARDEN PEAS,5,5,55,11
ATOK,RAINFED,2015,OCT,GARDEN PEAS,3.2,5,55,11
ATOK,RAINFED,2015,NOV,GARDEN PEAS,5,5,55,11
ATOK,RAINFED,2015,DEC,GARDEN PEAS,5,5,55,11
ATOK,RAINFED,2015,JAN,SWEET PEPPER,5,1.8,12.6,7
ATOK,RAINFED,2015,FEB,SWEET PEPPER,5,1.68,11.73,7
ATOK,RAINFED,2015,MAR,SWEET PEPPER,1.85,5,55,11
ATOK,RAINFED,2015,APR,SWEET PEPPER,1.63,5,55,11
ATOK,RAINFED,2015,MAY,SWEET PEPPER,5,5,55,11
ATOK,RAINFED,2015,JUN,SWEET PEPPER,5,1.85,14.8,8
ATOK,RAINFED,2015,JUL,SWEET PEPPER,5,1.63,13.01,8
ATOK,RAINFED,2015,AUG,SWEET PEPPER,5,5,55,11
ATOK,RAINFED,2015,SEP,SWEET PEPPER,5,5,55,11
ATOK,RAINFED,2015,OCT,SWEET PEPPER,5,5,55,11
ATOK,RAINFED,2015,NOV,SWEET PEPPER,5,5,55,11
ATOK,RAINFED,2015,DEC,SWEET PEPPER,5,5,55,11
ATOK,RAINFED,2015,JAN,WHITE POTATO,5,110,1870,17
ATOK,RAINFED,2015,FEB,WHITE POTATO,5,84.3,1433.1,17
ATOK,RAINFED,2015,MAR,WHITE POTATO,85.75,5,55,11
ATOK,RAINFED,2015,APR,WHITE POTATO,87,5,55,11
ATOK,RAINFED,2015,MAY,WHITE POTATO,66.55,5,55,11
ATOK,RAINFED,2015,JUN,WHITE POTATO,5,87.75,1715,19.54
ATOK,RAINFED,2015,JUL,WHITE POTATO,5,87,1740,20
ATOK,RAINFED,2015,AUG,WHITE POTATO,5,66.55,1331,20
ATOK,RAINFED,2015,SEP,WHITE POTATO,100,71,284,4
ATOK,RAINFED,2015,OCT,WHITE POTATO,100,5,55,11
ATOK,RAINFED,2015,NOV,WHITE POTATO,54,5,55,11
ATOK,RAINFED,2015,DEC,WHITE POTATO,5,50,200,4
ATOK,RAINFED,2015,JAN,CARROTS,5,5,55,11
ATOK,RAINFED,2015,FEB,CARROTS,5,5,55,11
ATOK,RAINFED,2015,MAR,CARROTS,202.23,5,55,11
ATOK,RAINFED,2015,APR,CARROTS,202.23,5,55,11
ATOK,RAINFED,2015,MAY,CARROTS,5,5,55,11
ATOK,RAINFED,2015,JUN,CARROTS,5,202.23,3235.68,16
ATOK,RAINFED,2015,JUL,CARROTS,5,202.23,2831.22,14
ATOK,RAINFED,2015,AUG,CARROTS,11.65,5,55,11
ATOK,RAINFED,2015,SEP,CARROTS,100,5,55,11
ATOK,RAINFED,2015,OCT,CARROTS,59,5,55,11
ATOK,RAINFED,2015,NOV,CARROTS,5,5,55,11
ATOK,RAINFED,2015,DEC,CARROTS,5,10,50,5
BAKUN,IRRIGATED,2015,JAN,CABBAGE,17.46,5,55,11
BAKUN,IRRIGATED,2015,FEB,CABBAGE,76.03,5,55,11
BAKUN,IRRIGATED,2015,MAR,CABBAGE,130,17.46,349.2,20
BAKUN,IRRIGATED,2015,APR,CABBAGE,135,76.03,1520.6,20
BAKUN,IRRIGATED,2015,MAY,CABBAGE,150,130,2600,20
BAKUN,IRRIGATED,2015,JUN,CABBAGE,5,135,2700,20
BAKUN,IRRIGATED,2015,JUL,CABBAGE,5,125,2500,20
BAKUN,IRRIGATED,2015,AUG,CABBAGE,5,25,500,20
BAKUN,IRRIGATED,2015,SEP,CABBAGE,155,5,55,11
BAKUN,IRRIGATED,2015,OCT,CABBAGE,135,5,55,11
BAKUN,IRRIGATED,2015,NOV,CABBAGE,110.69,155,3100,20
BAKUN,IRRIGATED,2015,DEC,CABBAGE,89,135,2700,20
BAKUN,IRRIGATED,2015,JAN,CHINESE CABBAGE,15.68,5,55,11
